Code UE;Intitulé;Type ens.;Période;Jour;Heure;Min.;Max.;Langue
HSS_OEL65_TP;La revanche de l'analogue. Quand le numérique a besoin du physique (S2P3);Humanités Contemporaines;3;Vendredi;8h30-11h45;8;30;FR
HSS_OEL65_TP;La revanche de l'analogue. Quand le numérique a besoin du physique (S2P4);Humanités Contemporaines;4;Mardi;13h30-16h45;8;30;FR
HSS_OEL66_TP;Anthropology and Ontology (taught in English) - (Priorité donnée aux élèves internationaux)- S2P3;Humanités Contemporaines;3;Vendredi;13h30-16h45;8;30;EN
IME_OEL31_TP;Finance d’entreprise - (SES) S2P3;SEHS;3;Mardi;13h30-16h45;8;30;FR
IME_OEL31_TP;Finance d’entreprise - (SES) - S2P4;SEHS;4;Mardi;13h30-16h45;8;30;FR
IME_OEL38_TP;Introduction au Management (SES);SEHS;4;Vendredi;13h30-16h45;10;35;FR
PHY_OEL14_TP;Technologies quantiques - S1P2;Ouverture scientifique;2;Mercredi;8h30-11h45;8;50;FR
PHY_OEL16_TP;Module de Physique1 ??? (titre en attente) (S1P2);Ouverture scientifique;2;Vendredi;13h30-16h45;8;30;FR
PHY_OEL17_TP;Module physique 2 (titre ?);Ouverture scientifique;3;Lundi;8h30-11h45;8;30;FR
PHY_OEL18_TP;Relativité restreinte;Ouverture scientifique;4;Mercredi;8h30-11h45;8;40;FR
