Filiere,Crenaux 1,,,Crenaux 2,,,Crenaux 3,,,Crenaux 4,,,Crenaux 5,,,Crenaux 6,,,Crenaux 7,,,Crenaux 8,,
,Periode,Jour,Heure,Periode,Jour,Heure,Periode,Jour,Heure,Periode,Jour,Heure,Periode,Jour,Heure,Periode,Jour,Heure,Periode,Jour,Heure,Periode,Jour,Heure
A,1,Lundi,8h30-11h45,1,Mercredi,13h30-16h45,2,Lundi,8h30-11h45,2,Mercredi,13h30-16h45,3,Lundi,13h30-16h45,3,Vendredi,8h30-11h45,4,Lundi,13h30-16h45,4,Vendredi,8h30-11h45
B,1,Lundi,13h30-16h45,1,Vendredi,8h30-11h45,2,Lundi,13h30-16h45,2,Vendredi,8h30-11h45,3,Lundi,8h30-11h45,3,Mercredi,13h30-16h45,4,Lundi,8h30-11h45,4,Mercredi,13h30-16h45
C,1,Mardi,8h30-11h45,1,Vendredi,13h30-16h45,2,Mardi,8h30-11h45,2,Vendredi,13h30-16h45,3,Mardi,8h30-11h45,3,Vendredi,13h30-16h45,4,Mardi,8h30-11h45,4,Vendredi,13h30-16h45
